run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-gena-0.05-binary-cheb1-testing-1-cheb1,348.0197,18.732813,18.63146759952944,0,anytown,gena,0.05,binary,testing,1,cheb1,0.9971345509281602
anytown-gena-0.05-binary-cheb1-testing-2-cheb1,345.56564,18.618948,18.63146759952944,0,anytown,gena,0.05,binary,testing,2,cheb1,0.9961582795363809
anytown-gena-0.05-binary-cheb1-testing-3-cheb1,345.17328,18.575092,18.63146759952944,0,anytown,gena,0.05,binary,testing,3,cheb1,0.9973764980838878
anytown-gena-0.05-binary-cheb1-testing-4-cheb1,346.4329,18.631441,18.63146759952944,0,anytown,gena,0.05,binary,testing,4,cheb1,0.997988686851979
anytown-gena-0.05-binary-cheb1-testing-5-cheb1,346.6617,18.647034,18.63146759952944,0,anytown,gena,0.05,binary,testing,5,cheb1,0.9978127157986373
anytown-gena-0.05-binary-cheb2-testing-1-cheb2,344.95322,18.55227,18.63146759952944,0,anytown,gena,0.05,binary,testing,1,cheb2,0.9979667722610388
anytown-gena-0.05-binary-cheb2-testing-2-cheb2,344.44882,18.521627,18.63146759952944,0,anytown,gena,0.05,binary,testing,2,cheb2,0.9981561842184798
anytown-gena-0.05-binary-cheb2-testing-3-cheb2,343.93973,18.496473,18.63146759952944,0,anytown,gena,0.05,binary,testing,3,cheb2,0.9980363461181171
anytown-gena-0.05-binary-cheb2-testing-4-cheb2,344.6766,18.53153,18.63146759952944,0,anytown,gena,0.05,binary,testing,4,cheb2,0.9982824993471929
anytown-gena-0.05-binary-cheb2-testing-5-cheb2,344.13443,18.50699,18.63146759952944,0,anytown,gena,0.05,binary,testing,5,cheb2,0.9980338451279804
anytown-gena-0.05-binary-cheb3-testing-1-cheb3,343.40952,18.474272,18.63146759952944,0,anytown,gena,0.05,binary,testing,1,cheb3,0.9976953116231204
anytown-gena-0.05-binary-cheb3-testing-2-cheb3,342.4374,18.421858,18.63146759952944,0,anytown,gena,0.05,binary,testing,2,cheb3,0.9977016604962539
anytown-gena-0.05-binary-cheb3-testing-3-cheb3,343.53555,18.47951,18.63146759952944,0,anytown,gena,0.05,binary,testing,3,cheb3,0.9977785624461916
anytown-gena-0.05-binary-cheb3-testing-4-cheb3,342.9499,18.452343,18.63146759952944,0,anytown,gena,0.05,binary,testing,4,cheb3,0.9975440811264148
anytown-gena-0.05-binary-cheb3-testing-5-cheb3,342.1353,18.411877,18.63146759952944,0,anytown,gena,0.05,binary,testing,5,cheb3,0.9973618557382202
anytown-gena-0.05-binary-gat-testing-1-gat,340.5766,18.459984,18.63146759952944,0,anytown,gena,0.05,binary,testing,1,gat,0.9902307755424721
anytown-gena-0.05-binary-gat-testing-2-gat,338.84653,18.441042,18.63146759952944,0,anytown,gena,0.05,binary,testing,2,gat,0.9862125390458619
anytown-gena-0.05-binary-gat-testing-3-gat,337.9954,18.33727,18.63146759952944,0,anytown,gena,0.05,binary,testing,3,gat,0.9893023586289453
anytown-gena-0.05-binary-gat-testing-4-gat,336.15945,18.274595,18.63146759952944,0,anytown,gena,0.05,binary,testing,4,gat,0.9873030939205135
