run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-xrandom-0.05-binary-gat-prueba-1-gat,337.54874,18.34594,18.63146759952944,8,anytown,xrandom,0.05,binary,prueba,1,gat,0.9875280875064115
anytown-xrandom-0.05-binary-gat-prueba-2-gat,340.37796,18.4444,18.63146759952944,5266,anytown,xrandom,0.05,binary,prueba,2,gat,0.9904894027552312
anytown-xrandom-0.05-binary-gat-prueba-3-gat,328.4625,18.092752,18.63146759952944,739,anytown,xrandom,0.05,binary,prueba,3,gat,0.9743928717505114
anytown-xrandom-0.05-binary-gat-prueba-4-gat,336.90604,18.286655,18.63146759952944,88867,anytown,xrandom,0.05,binary,prueba,4,gat,0.9888432650920851
anytown-xrandom-0.05-binary-gat-prueba-5-gat,337.48233,18.291994,18.63146759952944,1,anytown,xrandom,0.05,binary,prueba,5,gat,0.9902456037255638
anytown-xrandom-0.05-binary-gat-prueba-6-gat,341.37418,18.454851,18.63146759952944,8,anytown,xrandom,0.05,binary,prueba,6,gat,0.9928258155407457
anytown-xrandom-0.05-binary-gat-prueba-7-gat,342.81,18.570202,18.63146759952944,5266,anytown,xrandom,0.05,binary,prueba,7,gat,0.9908086482111212
anytown-xrandom-0.05-binary-gat-prueba-8-gat,342.16214,18.583834,18.63146759952944,739,anytown,xrandom,0.05,binary,prueba,8,gat,0.9882107419774039
anytown-xrandom-0.05-binary-gat-prueba-9-gat,327.8499,18.11166,18.63146759952944,88867,anytown,xrandom,0.05,binary,prueba,9,gat,0.9715602391847618
anytown-xrandom-0.05-binary-gat-prueba-10-gat,337.54285,18.285223,18.63146759952944,1,anytown,xrandom,0.05,binary,prueba,10,gat,0.9907899351227258
anytown-xrandom-0.05-binary-gat-prueba-11-gat,334.90784,18.312101,18.63146759952944,8,anytown,xrandom,0.05,binary,prueba,11,gat,0.981612485332176
anytown-xrandom-0.05-binary-gat-prueba-12-gat,323.7432,17.992737,18.63146759952944,5266,anytown,xrandom,0.05,binary,prueba,12,gat,0.9657314116611793
anytown-xrandom-0.05-binary-gat-prueba-13-gat,338.05045,18.363628,18.63146759952944,739,anytown,xrandom,0.05,binary,prueba,13,gat,0.9880432744820787
anytown-xrandom-0.05-binary-gat-prueba-14-gat,340.74103,18.542177,18.63146759952944,88867,anytown,xrandom,0.05,binary,prueba,14,gat,0.9863172843484255
anytown-xrandom-0.05-binary-gat-prueba-15-gat,328.47842,18.07397,18.63146759952944,1,anytown,xrandom,0.05,binary,prueba,15,gat,0.975452711691632
anytown-xrandom-0.05-binary-gat-prueba-16-gat,337.48557,18.300917,18.63146759952944,8,anytown,xrandom,0.05,binary,prueba,16,gat,0.9897722907119219
anytown-xrandom-0.05-binary-gat-prueba-17-gat,339.71716,18.397652,18.63146759952944,5266,anytown,xrandom,0.05,binary,prueba,17,gat,0.9910784192217215
anytown-xrandom-0.05-binary-gat-prueba-18-gat,333.6599,18.201935,18.63146759952944,739,anytown,xrandom,0.05,binary,prueba,18,gat,0.9838737883341324
anytown-xrandom-0.05-binary-gat-prueba-19-gat,328.84097,18.190664,18.63146759952944,88867,anytown,xrandom,0.05,binary,prueba,19,gat,0.9702648601574482
anytown-xrandom-0.05-binary-gat-prueba-20-gat,337.51392,18.401873,18.63146759952944,1,anytown,xrandom,0.05,binary,prueba,20,gat,0.9844249093818814
anytown-xrandom-0.1-binary-gat-prueba-1-gat,336.7612,18.330976,18.63146759952944,8,anytown,xrandom,0.1,binary,prueba,1,gat,0.9860283322092624
anytown-xrandom-0.1-binary-gat-prueba-2-gat,341.9009,18.527979,18.63146759952944,5266,anytown,xrandom,0.1,binary,prueba,2,gat,0.9904330605187117
anytown-xrandom-0.1-binary-gat-prueba-3-gat,336.65005,18.256575,18.63146759952944,739,anytown,xrandom,0.1,binary,prueba,3,gat,0.9897199216955559
anytown-xrandom-0.1-binary-gat-prueba-4-gat,335.8795,18.267607,18.63146759952944,88867,anytown,xrandom,0.1,binary,prueba,4,gat,0.986858241962115
