run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-xrandom-0.05-binary-cheb1-tuned-1-cheb1,345.2337,18.564592,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,cheb1,0.99811528910964
anytown-xrandom-0.05-binary-cheb1-tuned-2-cheb1,346.17838,18.642107,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,cheb1,0.9966849014514972
anytown-xrandom-0.05-binary-cheb1-tuned-3-cheb1,346.2083,18.622585,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,cheb1,0.9978159564553862
anytown-xrandom-0.05-binary-cheb1-tuned-4-cheb1,341.53342,18.42359,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,cheb1,0.9949743413470096
anytown-xrandom-0.05-binary-cheb1-tuned-5-cheb1,347.16428,18.705036,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,cheb1,0.9961607361304868
anytown-xrandom-0.05-binary-cheb1-tuned-6-cheb1,344.7651,18.541363,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,6,cheb1,0.9980092679009125
anytown-xrandom-0.05-binary-cheb1-tuned-7-cheb1,343.27777,18.482994,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,7,cheb1,0.9968419180413124
anytown-xrandom-0.05-binary-cheb1-tuned-8-cheb1,344.31845,18.543793,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,8,cheb1,0.9965857163166678
anytown-xrandom-0.05-binary-cheb1-tuned-9-cheb1,344.13562,18.598085,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,9,cheb1,0.9931488248324107
anytown-xrandom-0.05-binary-cheb1-tuned-10-cheb1,346.85596,18.674603,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,10,cheb1,0.996897984049345
anytown-xrandom-0.05-binary-cheb1-tuned-11-cheb1,345.7736,18.606583,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,11,cheb1,0.9974201586652741
anytown-xrandom-0.05-binary-cheb1-tuned-12-cheb1,345.09637,18.59151,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,12,cheb1,0.9962736887978979
anytown-xrandom-0.05-binary-cheb1-tuned-13-cheb1,345.0934,18.57128,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,13,cheb1,0.9973503625108596
anytown-xrandom-0.05-binary-cheb1-tuned-14-cheb1,342.92096,18.549404,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,14,cheb1,0.9922406270543989
anytown-xrandom-0.05-binary-cheb1-tuned-15-cheb1,346.0076,18.64103,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,15,cheb1,0.996250763244905
anytown-xrandom-0.05-binary-cheb1-tuned-16-cheb1,346.27548,18.64098,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,16,cheb1,0.9970247374982601
anytown-xrandom-0.05-binary-cheb1-tuned-17-cheb1,346.9713,18.706972,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,17,cheb1,0.9955039589298833
anytown-xrandom-0.05-binary-cheb1-tuned-18-cheb1,347.37717,18.714998,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,18,cheb1,0.9962410254507984
anytown-xrandom-0.05-binary-cheb1-tuned-19-cheb1,338.64127,18.316887,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,19,cheb1,0.9922957982964261
anytown-xrandom-0.05-binary-cheb1-tuned-20-cheb1,347.13187,18.67252,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,20,cheb1,0.9978022731231401
anytown-xrandom-0.05-binary-cheb2-tuned-1-cheb2,344.45016,18.519297,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,cheb2,0.9982856505390968
anytown-xrandom-0.05-binary-cheb2-tuned-2-cheb2,345.22778,18.570528,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,cheb2,0.9977791352658683
anytown-xrandom-0.05-binary-cheb2-tuned-3-cheb2,345.52722,18.57192,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,cheb2,0.99856972804848
anytown-xrandom-0.05-binary-cheb2-tuned-4-cheb2,338.88623,18.305853,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,cheb2,0.9936121336255759
anytown-xrandom-0.05-binary-cheb2-tuned-5-cheb2,344.48343,18.520254,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,cheb2,0.9983304841180715
anytown-xrandom-0.05-binary-cheb2-tuned-6-cheb2,344.41428,18.515425,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,6,cheb2,0.9983904057806334
anytown-xrandom-0.05-binary-cheb2-tuned-7-cheb2,343.53372,18.475346,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,7,cheb2,0.9979981268867195
anytown-xrandom-0.05-binary-cheb2-tuned-8-cheb2,347.2613,18.661552,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,8,cheb2,0.9987609685605641
anytown-xrandom-0.05-binary-cheb2-tuned-9-cheb2,340.65338,18.397062,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,9,cheb2,0.993841585026013
anytown-xrandom-0.05-binary-cheb2-tuned-10-cheb2,345.6558,18.578606,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,10,cheb2,0.9985818274752468
anytown-xrandom-0.05-binary-cheb2-tuned-11-cheb2,343.6229,18.476059,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,11,cheb2,0.9982186800423664
anytown-xrandom-0.05-binary-cheb2-tuned-12-cheb2,344.64642,18.533089,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,12,cheb2,0.9981111214076814
anytown-xrandom-0.05-binary-cheb2-tuned-13-cheb2,345.1785,18.55696,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,13,cheb2,0.9983661322604538
anytown-xrandom-0.05-binary-cheb2-tuned-14-cheb2,339.16687,18.319328,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,14,cheb2,0.9937034997165453
anytown-xrandom-0.05-binary-cheb2-tuned-15-cheb2,344.7651,18.536253,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,15,cheb2,0.998284395099434
anytown-xrandom-0.05-binary-cheb2-tuned-16-cheb2,344.80582,18.534447,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,16,cheb2,0.9984995863809544
anytown-xrandom-0.05-binary-cheb2-tuned-17-cheb2,343.78885,18.493294,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,17,cheb2,0.9977700133626576
anytown-xrandom-0.05-binary-cheb2-tuned-18-cheb2,344.47906,18.514011,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,18,cheb2,0.9986544564754399
anytown-xrandom-0.05-binary-cheb2-tuned-19-cheb2,339.52612,18.315273,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,19,cheb2,0.9949762824147166
anytown-xrandom-0.05-binary-cheb2-tuned-20-cheb2,345.708,18.586433,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,20,cheb2,0.9983120506813599
anytown-xrandom-0.05-binary-gat_hyp-tuned-1-gat_hyp,333.33618,18.22425,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,gat_hyp,0.9817156721052531
anytown-xrandom-0.05-binary-gat_hyp-tuned-2-gat_hyp,342.07483,18.616924,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,gat_hyp,0.9862025664376957
anytown-xrandom-0.05-binary-gat_hyp-tuned-3-gat_hyp,340.40894,18.441006,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,gat_hyp,0.9907618661626933
anytown-xrandom-0.05-binary-gat_hyp-tuned-4-gat_hyp,326.7492,18.029985,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,gat_hyp,0.9726847387795681
anytown-xrandom-0.05-binary-gat_hyp-tuned-5-gat_hyp,341.47403,18.616262,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,gat_hyp,0.9845054666493817
anytown-xrandom-0.05-binary-gat_hyp-tuned-6-gat_hyp,341.0991,18.456043,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,6,gat_hyp,0.991961723633356
anytown-xrandom-0.05-binary-gat_hyp-tuned-7-gat_hyp,338.42657,18.346737,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,7,gat_hyp,0.9900532444965447
anytown-xrandom-0.05-binary-gat_hyp-tuned-8-gat_hyp,339.78497,18.392395,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,8,gat_hyp,0.9915595768292458
anytown-xrandom-0.05-binary-gat_hyp-tuned-9-gat_hyp,327.83423,18.106777,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,9,gat_hyp,0.9717757981671159
anytown-xrandom-0.05-binary-gat_hyp-tuned-10-gat_hyp,338.7353,18.376368,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,10,gat_hyp,0.9893585525736879
anytown-xrandom-0.05-binary-gat_hyp-tuned-11-gat_hyp,339.74902,18.385302,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,11,gat_hyp,0.9918371681776493
anytown-xrandom-0.05-binary-gat_hyp-tuned-12-gat_hyp,337.2755,18.266525,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,12,gat_hyp,0.9910185725162897
anytown-xrandom-0.05-binary-gat_hyp-tuned-13-gat_hyp,340.637,18.42658,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,13,gat_hyp,0.9922018139071574
anytown-xrandom-0.05-binary-gat_hyp-tuned-14-gat_hyp,330.0992,18.19978,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,14,gat_hyp,0.9734894918713064
anytown-xrandom-0.05-binary-gat_hyp-tuned-15-gat_hyp,337.47632,18.32369,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,15,gat_hyp,0.9885150899914337
anytown-xrandom-0.05-binary-gat_hyp-tuned-16-gat_hyp,336.93124,18.301949,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,16,gat_hyp,0.9880908414873533
anytown-xrandom-0.05-binary-gat_hyp-tuned-17-gat_hyp,338.23163,18.329092,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,17,gat_hyp,0.9904355081467874
anytown-xrandom-0.05-binary-gat_hyp-tuned-18-gat_hyp,341.0655,18.462929,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,18,gat_hyp,0.9914940812003973
anytown-xrandom-0.05-binary-gat_hyp-tuned-19-gat_hyp,329.52368,18.167606,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,19,gat_hyp,0.9735132360443243
anytown-xrandom-0.05-binary-gat_hyp-tuned-20-gat_hyp,338.02484,18.346024,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,20,gat_hyp,0.9889164313888082
anytown-xrandom-0.05-binary-gat2-tuned-1-gat2,322.11462,17.528881,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,gat2,0.9863003302522402
anytown-xrandom-0.05-binary-gat2-tuned-2-gat2,325.8778,17.714657,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,gat2,0.9873587117105325
anytown-xrandom-0.05-binary-gat2-tuned-3-gat2,331.331,18.018808,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,gat2,0.9869359026861372
anytown-xrandom-0.05-binary-gat2-tuned-4-gat2,306.11978,17.05264,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,gat2,0.9635021835736611
anytown-xrandom-0.05-binary-gat2-tuned-5-gat2,319.07278,17.368372,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,gat2,0.9860151282267928
anytown-xrandom-0.05-binary-gat2-tuned-6-gat2,325.6733,17.763887,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,6,gat2,0.984004506424593
anytown-xrandom-0.05-binary-gat2-tuned-7-gat2,341.43802,18.514198,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,7,gat2,0.9898283985033246
anytown-xrandom-0.05-binary-gat2-tuned-8-gat2,325.58243,17.688711,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,8,gat2,0.9879107430202022
anytown-xrandom-0.05-binary-gat2-tuned-9-gat2,313.22946,17.390629,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,9,gat2,0.966718981272749
anytown-xrandom-0.05-binary-gat2-tuned-10-gat2,315.32767,17.186344,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,10,gat2,0.984762530911877
anytown-xrandom-0.05-binary-gat2-tuned-11-gat2,325.48685,17.75464,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,11,gat2,0.983953355090334
anytown-xrandom-0.05-binary-gat2-tuned-12-gat2,333.22653,18.060589,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,12,gat2,0.9902859000169323
anytown-xrandom-0.05-binary-gat2-tuned-13-gat2,323.77045,17.56533,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,13,gat2,0.9893132598146809
anytown-xrandom-0.05-binary-gat2-tuned-14-gat2,315.786,17.457663,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,14,gat2,0.9708669135351099
anytown-xrandom-0.05-binary-gat2-tuned-15-gat2,315.71634,17.29486,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,15,gat2,0.9797898658007277
anytown-xrandom-0.05-binary-gat2-tuned-16-gat2,324.4946,17.62375,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,16,gat2,0.9882392182260397
anytown-xrandom-0.05-binary-gat2-tuned-17-gat2,328.23773,17.798273,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,17,gat2,0.9898367431771671
anytown-xrandom-0.05-binary-gat2-tuned-18-gat2,328.6871,17.844868,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,18,gat2,0.9886037517034699
anytown-xrandom-0.05-binary-gat2-tuned-19-gat2,318.28995,17.571924,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,19,gat2,0.9722020761148437
anytown-xrandom-0.05-binary-gat2-tuned-20-gat2,318.84564,17.39033,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,20,gat2,0.9840690971286282
anytown-xrandom-0.1-binary-cheb1-tuned-1-cheb1,344.55408,18.55536,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,1,cheb1,0.9966460426326487
anytown-xrandom-0.1-binary-cheb1-tuned-2-cheb1,344.92596,18.608582,18.63146759952944,5266,anytown,xrandom,0.1,binary,tuned,2,cheb1,0.994868168564733
anytown-xrandom-0.1-binary-cheb1-tuned-3-cheb1,344.14273,18.554531,18.63146759952944,739,anytown,xrandom,0.1,binary,tuned,3,cheb1,0.9955006609616489
anytown-xrandom-0.1-binary-cheb1-tuned-4-cheb1,342.91092,18.511003,18.63146759952944,88867,anytown,xrandom,0.1,binary,tuned,4,cheb1,0.9942699152049411
anytown-xrandom-0.1-binary-cheb1-tuned-5-cheb1,344.01465,18.561584,18.63146759952944,1,anytown,xrandom,0.1,binary,tuned,5,cheb1,0.9947520364085048
anytown-xrandom-0.1-binary-cheb1-tuned-6-cheb1,346.27173,18.640505,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,6,cheb1,0.9970393462420148
anytown-xrandom-0.1-binary-cheb1-tuned-7-cheb1,342.59738,18.438961,18.63146759952944,5266,anytown,xrandom,0.1,binary,tuned,7,cheb1,0.9972419196785056
anytown-xrandom-0.1-binary-cheb1-tuned-8-cheb1,348.26324,18.79236,18.63146759952944,739,anytown,xrandom,0.1,binary,tuned,8,cheb1,0.9946705210216902
anytown-xrandom-0.1-binary-cheb1-tuned-9-cheb1,348.41876,18.82365,18.63146759952944,88867,anytown,xrandom,0.1,binary,tuned,9,cheb1,0.9934605499441603
anytown-xrandom-0.1-binary-cheb1-tuned-10-cheb1,344.94904,18.571003,18.63146759952944,1,anytown,xrandom,0.1,binary,tuned,10,cheb1,0.9969480193607219
anytown-xrandom-0.1-binary-cheb1-tuned-11-cheb1,345.20166,18.612883,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,11,cheb1,0.99543329423971
anytown-xrandom-0.1-binary-cheb1-tuned-12-cheb1,345.16925,18.583336,18.63146759952944,5266,anytown,xrandom,0.1,binary,tuned,12,cheb1,0.9969223991762478
anytown-xrandom-0.1-binary-cheb1-tuned-13-cheb1,347.55453,18.723701,18.63146759952944,739,anytown,xrandom,0.1,binary,tuned,13,cheb1,0.9962863740322585
anytown-xrandom-0.1-binary-cheb1-tuned-14-cheb1,343.92508,18.534163,18.63146759952944,88867,anytown,xrandom,0.1,binary,tuned,14,cheb1,0.9959643726484003

