run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.05-binary-gat_hyp-node-1-gat_hyp,326.8531,18.161432,18.63146759952944,8,anytown,random,0.05,binary,node,1,gat_hyp,0.9659517948212555
anytown-random-0.05-binary-gat_hyp-node-2-gat_hyp,326.661,17.996214,18.63146759952944,5266,anytown,random,0.05,binary,node,2,gat_hyp,0.974246990135153
anytown-random-0.05-binary-gat_hyp-node-3-gat_hyp,332.28546,18.158611,18.63146759952944,739,anytown,random,0.05,binary,node,3,gat_hyp,0.9821586532174874
anytown-random-0.05-binary-gat_hyp-node-4-gat_hyp,337.62723,18.32816,18.63146759952944,88867,anytown,random,0.05,binary,node,4,gat_hyp,0.9887159325866374
anytown-random-0.05-binary-gat_hyp-node-5-gat_hyp,338.54938,18.377216,18.63146759952944,1,anytown,random,0.05,binary,node,5,gat_hyp,0.9887699001493435
anytown-random-0.05-binary-gat_hyp-node-6-gat_hyp,338.99353,18.358162,18.63146759952944,8,anytown,random,0.05,binary,node,6,gat_hyp,0.9910946820892039
anytown-random-0.05-binary-gat_hyp-node-7-gat_hyp,337.13675,18.415388,18.63146759952944,5266,anytown,random,0.05,binary,node,7,gat_hyp,0.9826031605703266
anytown-random-0.05-binary-gat_hyp-node-8-gat_hyp,339.14944,18.393772,18.63146759952944,739,anytown,random,0.05,binary,node,8,gat_hyp,0.989630883322345
anytown-random-0.05-binary-gat_hyp-node-9-gat_hyp,337.96365,18.301538,18.63146759952944,88867,anytown,random,0.05,binary,node,9,gat_hyp,0.9911407639940618
anytown-random-0.05-binary-gat_hyp-node-10-gat_hyp,335.0471,18.277552,18.63146759952944,1,anytown,random,0.05,binary,node,10,gat_hyp,0.9838769122753979
anytown-random-0.05-binary-gat_hyp-node-11-gat_hyp,326.83005,18.033497,18.63146759952944,8,anytown,random,0.05,binary,node,11,gat_hyp,0.9727359414892148
anytown-random-0.05-binary-gat_hyp-node-12-gat_hyp,330.2464,18.167376,18.63146759952944,5266,anytown,random,0.05,binary,node,12,gat_hyp,0.9756607226358787
anytown-random-0.05-binary-gat_hyp-node-13-gat_hyp,326.34778,17.996605,18.63146759952944,739,anytown,random,0.05,binary,node,13,gat_hyp,0.9732916836214761
anytown-random-0.05-binary-gat_hyp-node-14-gat_hyp,325.19293,18.054245,18.63146759952944,88867,anytown,random,0.05,binary,node,14,gat_hyp,0.9667511510401331
anytown-random-0.05-binary-gat_hyp-node-15-gat_hyp,341.14273,18.54214,18.63146759952944,1,anytown,random,0.05,binary,node,15,gat_hyp,0.9874820254237154
anytown-random-0.05-binary-gat_hyp-node-16-gat_hyp,340.00284,18.402775,18.63146759952944,8,anytown,random,0.05,binary,node,16,gat_hyp,0.9916357212720213
anytown-random-0.05-binary-gat_hyp-node-17-gat_hyp,324.14905,17.955372,18.63146759952944,5266,anytown,random,0.05,binary,node,17,gat_hyp,0.9689542685300395
anytown-random-0.05-binary-gat_hyp-node-18-gat_hyp,338.7905,18.454542,18.63146759952944,739,anytown,random,0.05,binary,node,18,gat_hyp,0.985328141744834
anytown-random-0.05-binary-gat_hyp-node-19-gat_hyp,342.89377,18.578115,18.63146759952944,88867,anytown,random,0.05,binary,node,19,gat_hyp,0.990628645448762
anytown-random-0.05-binary-gat_hyp-node-20-gat_hyp,318.3819,17.78983,18.63146759952944,1,anytown,random,0.05,binary,node,20,gat_hyp,0.9605710787072157
