run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.05-binary-node-1-gcn,332.04416,18.33368,18.63146759952944,8,anytown,random,1,binary,node-1,1,gcn,0.9720735671570844
anytown-random-0.05-binary-node-1-naive,181.50603,13.472419,18.63146759952944,8,anytown,random,1,binary,node-1,1,naive,0.7231000823476824
anytown-random-0.05-binary-node-1-interp,266.31335,16.383598,18.63146759952944,8,anytown,random,1,binary,node-1,1,interp,0.8724420485754963
anytown-random-0.05-binary-node-2-gcn,346.16574,18.651258,18.63146759952944,8,anytown,random,1,binary,node-2,1,gcn,0.9961595167473274
anytown-random-0.05-binary-node-2-naive,114.542244,10.702441,18.63146759952944,8,anytown,random,1,binary,node-2,1,naive,0.5744282356056414
anytown-random-0.05-binary-node-2-interp,106.49642,12.114351,18.63146759952944,8,anytown,random,1,binary,node-2,1,interp,0.471832433136257
anytown-random-0.05-binary-node-3-gcn,346.22787,18.631027,18.63146759952944,8,anytown,random,1,binary,node-3,1,gcn,0.9974202086098479
anytown-random-0.05-binary-node-3-naive,119.13824,10.915046,18.63146759952944,8,anytown,random,1,binary,node-3,1,naive,0.5858393566040935
anytown-random-0.05-binary-node-3-interp,100.52472,12.131117,18.63146759952944,8,anytown,random,1,binary,node-3,1,interp,0.4447592765729077
anytown-random-0.05-binary-node-4-gcn,344.4173,18.538286,18.63146759952944,8,anytown,random,1,binary,node-4,1,gcn,0.9971679566447013
anytown-random-0.05-binary-node-4-naive,123.655655,11.120056,18.63146759952944,8,anytown,random,1,binary,node-4,1,naive,0.5968427768785503
anytown-random-0.05-binary-node-4-interp,90.877785,12.427719,18.63146759952944,8,anytown,random,1,binary,node-4,1,interp,0.39248154702388816
anytown-random-0.05-binary-node-5-gcn,346.83044,18.672897,18.63146759952944,8,anytown,random,1,binary,node-5,1,gcn,0.9969157093257593
anytown-random-0.05-binary-node-5-naive,141.31932,11.88778,18.63146759952944,8,anytown,random,1,binary,node-5,1,naive,0.6380485325544191
