run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.05-binary-node-1-gcn,329.25766,18.147732,18.63146759952944,8,anytown,random,0.05,binary,node,1,gcn,0.973792588148438
anytown-random-0.05-binary-node-1-naive,181.50603,13.472419,18.63146759952944,8,anytown,random,0.05,binary,node,1,naive,0.7231000823476824
anytown-random-0.05-binary-node-1-interp,266.31335,16.383598,18.63146759952944,8,anytown,random,0.05,binary,node,1,interp,0.8724420485754963
anytown-random-0.05-binary-node-2-gcn,341.37387,18.407183,18.63146759952944,5266,anytown,random,0.05,binary,node,2,gcn,0.9953959742911466
anytown-random-0.05-binary-node-2-naive,114.542244,10.702441,18.63146759952944,5266,anytown,random,0.05,binary,node,2,naive,0.5744282356056414
anytown-random-0.05-binary-node-2-interp,106.49642,12.114351,18.63146759952944,5266,anytown,random,0.05,binary,node,2,interp,0.471832433136257
anytown-random-0.05-binary-node-3-gcn,343.09006,18.460207,18.63146759952944,739,anytown,random,0.05,binary,node,3,gcn,0.9975266420028259
anytown-random-0.05-binary-node-3-naive,119.13824,10.915046,18.63146759952944,739,anytown,random,0.05,binary,node,3,naive,0.5858393566040935
anytown-random-0.05-binary-node-3-interp,100.52472,12.131117,18.63146759952944,739,anytown,random,0.05,binary,node,3,interp,0.4447592765729077
anytown-random-0.05-binary-node-4-gcn,344.10712,18.50759,18.63146759952944,88867,anytown,random,0.05,binary,node,4,gcn,0.9979222898132374
anytown-random-0.05-binary-node-4-naive,123.655655,11.120056,18.63146759952944,88867,anytown,random,0.05,binary,node,4,naive,0.5968427768785503
anytown-random-0.05-binary-node-4-interp,90.877785,12.427719,18.63146759952944,88867,anytown,random,0.05,binary,node,4,interp,0.39248154702388816
anytown-random-0.05-binary-node-5-gcn,344.7637,18.531708,18.63146759952944,1,anytown,random,0.05,binary,node,5,gcn,0.9985251748960785
anytown-random-0.05-binary-node-5-naive,141.31932,11.88778,18.63146759952944,1,anytown,random,0.05,binary,node,5,naive,0.6380485325544191
anytown-random-0.05-binary-node-5-interp,96.824234,13.058815,18.63146759952944,1,anytown,random,0.05,binary,node,5,interp,0.397954330357915
anytown-random-0.05-binary-node-6-gcn,345.40646,18.56986,18.63146759952944,8,anytown,random,0.05,binary,node,6,gcn,0.9983314680927136
anytown-random-0.05-binary-node-6-naive,142.02762,11.917534,18.63146759952944,8,anytown,random,0.05,binary,node,6,naive,0.6396454932053509
anytown-random-0.05-binary-node-6-interp,90.885284,13.314658,18.63146759952944,8,anytown,random,0.05,binary,node,6,interp,0.3663671173682522
anytown-random-0.05-binary-node-7-gcn,345.87393,18.595999,18.63146759952944,5266,anytown,random,0.05,binary,node,7,gcn,0.9982774221359997
