run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.05-binary-gat-node_1-1-gat,323.6718,18.020634,18.63146759952944,8,anytown,random,0.05,binary,node_1,1,gat,0.9640237450228434
anytown-random-0.05-binary-gat-node_1-1-naive,181.50603,13.472419,18.63146759952944,8,anytown,random,0.05,binary,node_1,1,naive,0.7231000823476824
anytown-random-0.05-binary-gat-node_1-1-interp,266.31335,16.383598,18.63146759952944,8,anytown,random,0.05,binary,node_1,1,interp,0.8724420485754963
anytown-random-0.05-binary-gat-node_2-1-gat,327.12888,18.087671,18.63146759952944,8,anytown,random,0.05,binary,node_2,1,gat,0.9707092569738137
anytown-random-0.05-binary-gat-node_2-1-naive,114.542244,10.702441,18.63146759952944,8,anytown,random,0.05,binary,node_2,1,naive,0.5744282356056414
anytown-random-0.05-binary-gat-node_2-1-interp,106.49642,12.114351,18.63146759952944,8,anytown,random,0.05,binary,node_2,1,interp,0.471832433136257
anytown-random-0.05-binary-gat-node_3-1-gat,333.48248,18.254044,18.63146759952944,8,anytown,random,0.05,binary,node_3,1,gat,0.980543497330174
anytown-random-0.05-binary-gat-node_3-1-naive,119.13824,10.915046,18.63146759952944,8,anytown,random,0.05,binary,node_3,1,naive,0.5858393566040935
anytown-random-0.05-binary-gat-node_3-1-interp,100.52472,12.131117,18.63146759952944,8,anytown,random,0.05,binary,node_3,1,interp,0.4447592765729077
anytown-random-0.05-binary-gat-node_4-1-gat,335.17,18.31362,18.63146759952944,8,anytown,random,0.05,binary,node_4,1,gat,0.982299392081876
anytown-random-0.05-binary-gat-node_4-1-naive,123.655655,11.120056,18.63146759952944,8,anytown,random,0.05,binary,node_4,1,naive,0.5968427768785503
anytown-random-0.05-binary-gat-node_4-1-interp,90.877785,12.427719,18.63146759952944,8,anytown,random,0.05,binary,node_4,1,interp,0.39248154702388816
anytown-random-0.05-binary-gat-node_5-1-gat,337.803,18.340218,18.63146759952944,8,anytown,random,0.05,binary,node_5,1,gat,0.9885802800396685
anytown-random-0.05-binary-gat-node_5-1-naive,141.31932,11.88778,18.63146759952944,8,anytown,random,0.05,binary,node_5,1,naive,0.6380485325544191
anytown-random-0.05-binary-gat-node_5-1-interp,96.824234,13.058815,18.63146759952944,8,anytown,random,0.05,binary,node_5,1,interp,0.397954330357915
anytown-random-0.05-binary-gat-node_6-1-gat,338.82834,18.350527,18.63146759952944,8,anytown,random,0.05,binary,node_6,1,gat,0.9910238843931656
anytown-random-0.05-binary-gat-node_6-1-naive,142.02762,11.917534,18.63146759952944,8,anytown,random,0.05,binary,node_6,1,naive,0.6396454932053509
anytown-random-0.05-binary-gat-node_6-1-interp,90.885284,13.314658,18.63146759952944,8,anytown,random,0.05,binary,node_6,1,interp,0.3663671173682522
anytown-random-0.05-binary-gat-node_7-1-gat,340.10968,18.445704,18.63146759952944,8,anytown,random,0.05,binary,node_7,1,gat,0.9896387497644216
anytown-random-0.05-binary-gat-node_7-1-naive,142.29147,11.928598,18.63146759952944,8,anytown,random,0.05,binary,node_7,1,naive,0.6402394010203862
anytown-random-0.05-binary-gat-node_7-1-interp,95.77133,13.126033,18.63146759952944,8,anytown,random,0.05,binary,node_7,1,interp,0.3916110712390757
anytown-random-0.05-binary-gat-node_8-1-gat,337.45212,18.34867,18.63146759952944,8,anytown,random,0.05,binary,node_8,1,gat,0.9870985303842816
anytown-random-0.05-binary-gat-node_8-1-naive,128.19347,11.322255,18.63146759952944,8,anytown,random,0.05,binary,node_8,1,naive,0.607695339843847
anytown-random-0.05-binary-gat-node_8-1-interp,82.36415,12.789925,18.63146759952944,8,anytown,random,0.05,binary,node_8,1,interp,0.34563933228182353
anytown-random-0.05-binary-gat-node_9-1-gat,336.7609,18.255934,18.63146759952944,8,anytown,random,0.05,binary,node_9,1,gat,0.9900805727746865
anytown-random-0.05-binary-gat-node_9-1-naive,128.66891,11.343232,18.63146759952944,8,anytown,random,0.05,binary,node_9,1,naive,0.608821164781716
anytown-random-0.05-binary-gat-node_9-1-interp,95.162575,12.511513,18.63146759952944,8,anytown,random,0.05,binary,node_9,1,interp,0.4082341086983298
anytown-random-0.05-binary-gat-node_10-1-gat,333.36218,18.34411,18.63146759952944,8,anytown,random,0.05,binary,node_10,1,gat,0.9753772369403586
anytown-random-0.05-binary-gat-node_10-1-naive,123.168396,11.098125,18.63146759952944,8,anytown,random,0.05,binary,node_10,1,naive,0.5956657207033619
anytown-random-0.05-binary-gat-node_10-1-interp,94.67864,12.378992,18.63146759952944,8,anytown,random,0.05,binary,node_10,1,interp,0.41050614544095837
anytown-random-0.05-binary-gat-node_11-1-gat,326.59262,18.263071,18.63146759952944,8,anytown,random,0.05,binary,node_11,1,gat,0.9598104934487708
anytown-random-0.05-binary-gat-node_11-1-naive,121.629036,11.028555,18.63146759952944,8,anytown,random,0.05,binary,node_11,1,naive,0.5919316824245067
anytown-random-0.05-binary-gat-node_11-1-interp,97.09761,12.280764,18.63146759952944,8,anytown,random,0.05,binary,node_11,1,interp,0.4243616105191667
anytown-random-0.05-binary-gat-node_12-1-gat,328.13608,18.108122,18.63146759952944,8,anytown,random,0.05,binary,node_12,1,gat,0.972598304613368
anytown-random-0.05-binary-gat-node_12-1-naive,116.60561,10.798408,18.63146759952944,8,anytown,random,0.05,binary,node_12,1,naive,0.5795790078430566
anytown-random-0.05-binary-gat-node_12-1-interp,101.42755,12.103981,18.63146759952944,8,anytown,random,0.05,binary,node_12,1,interp,0.4497598011709887
anytown-random-0.05-binary-gat-node_13-1-gat,328.666,18.213448,18.63146759952944,8,anytown,random,0.05,binary,node_13,1,gat,0.9685354997477348
anytown-random-0.05-binary-gat-node_13-1-naive,114.257515,10.68913,18.63146759952944,8,anytown,random,0.05,binary,node_13,1,naive,0.573713870446054
anytown-random-0.05-binary-gat-node_13-1-interp,108.080505,12.124265,18.63146759952944,8,anytown,random,0.05,binary,node_13,1,interp,0.47845916660621285
anytown-random-0.05-binary-gat-node_14-1-gat,324.75858,18.02098,18.63146759952944,8,anytown,random,0.05,binary,node_14,1,gat,0.9672420381669274
anytown-random-0.05-binary-gat-node_14-1-naive,119.434105,10.928591,18.63146759952944,8,anytown,random,0.05,binary,node_14,1,naive,0.5865663177196228
