run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.05-binary-gat2-node_1-1-gcn,324.7545,18.07902,18.63146759952944,8,anytown,random,0.05,binary,node_1,1,gcn,0.9641247390956963
anytown-random-0.05-binary-gat2-node_2-1-gcn,310.9147,17.50523,18.63146759952944,8,anytown,random,0.05,binary,node_2,1,gcn,0.9532929231440059
anytown-random-0.05-binary-gat2-node_3-1-gcn,295.54596,16.626125,18.63146759952944,8,anytown,random,0.05,binary,node_3,1,gcn,0.9540846752667692
anytown-random-0.05-binary-gat2-node_4-1-gcn,309.28842,16.912357,18.63146759952944,8,anytown,random,0.05,binary,node_4,1,gcn,0.9815500666564376
anytown-random-0.05-binary-gat2-node_5-1-gcn,314.45175,17.159645,18.63146759952944,8,anytown,random,0.05,binary,node_5,1,gcn,0.9835550023460085
anytown-random-0.05-binary-gat2-node_6-1-gcn,321.3925,17.54241,18.63146759952944,8,anytown,random,0.05,binary,node_6,1,gcn,0.9833302855488536
anytown-random-0.05-binary-gat2-node_7-1-gcn,319.11667,17.342234,18.63146759952944,8,anytown,random,0.05,binary,node_7,1,gcn,0.9876370735578273
anytown-random-0.05-binary-gat2-node_8-1-gcn,331.06824,18.00599,18.63146759952944,8,anytown,random,0.05,binary,node_8,1,gcn,0.9868552363225372
anytown-random-0.05-binary-gat2-node_9-1-gcn,318.76865,17.36281,18.63146759952944,8,anytown,random,0.05,binary,node_9,1,gcn,0.9853908489198975
anytown-random-0.05-binary-gat2-node_10-1-gcn,326.40228,17.958216,18.63146759952944,8,anytown,random,0.05,binary,node_10,1,gcn,0.9755351611009262
anytown-random-0.05-binary-gat2-node_11-1-gcn,311.34012,17.22827,18.63146759952944,8,anytown,random,0.05,binary,node_11,1,gcn,0.9699433135366207
anytown-random-0.05-binary-gat2-node_12-1-gcn,302.97855,16.976477,18.63146759952944,8,anytown,random,0.05,binary,node_12,1,gcn,0.9578935475074049
anytown-random-0.05-binary-gat2-node_13-1-gcn,326.8239,18.09474,18.63146759952944,8,anytown,random,0.05,binary,node_13,1,gcn,0.9694254018526638
anytown-random-0.05-binary-gat2-node_14-1-gcn,307.6575,17.17475,18.63146759952944,8,anytown,random,0.05,binary,node_14,1,gcn,0.9614573349417272
anytown-random-0.05-binary-gat2-node_15-1-gcn,321.50006,17.424797,18.63146759952944,8,anytown,random,0.05,binary,node_15,1,gcn,0.9902988289256214
anytown-random-0.05-binary-gat2-node_16-1-gcn,299.2815,16.648687,18.63146759952944,8,anytown,random,0.05,binary,node_16,1,gcn,0.9648344854186217
anytown-random-0.05-binary-gat2-node_17-1-gcn,296.00757,16.43426,18.63146759952944,8,anytown,random,0.05,binary,node_17,1,gcn,0.9667308961646887
anytown-random-0.05-binary-gat2-node_18-1-gcn,310.41647,17.435225,18.63146759952944,8,anytown,random,0.05,binary,node_18,1,gcn,0.9555867824477182
anytown-random-0.05-binary-gat2-node_19-1-gcn,323.64142,17.563587,18.63146759952944,8,anytown,random,0.05,binary,node_19,1,gcn,0.989017135374991
anytown-random-0.05-binary-gat2-node_20-1-gcn,296.79913,16.613075,18.63146759952944,8,anytown,random,0.05,binary,node_20,1,gcn,0.9588828082858945
anytown-random-0.05-binary-gat2-node_21-1-gcn,294.5736,16.482946,18.63146759952944,8,anytown,random,0.05,binary,node_21,1,gcn,0.9592060755469748
anytown-random-0.05-binary-gat2-node_22-1-gcn,313.726,17.427507,18.63146759952944,8,anytown,random,0.05,binary,node_22,1,gcn,0.9662025533440715
anytown-random-0.05-binary-def-1-orig,347.1315849123153,18.63146759952944,18.63146759952944,8,anytown,random,0.05,binary,def,1,orig,1.0
