run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.1-binary-cheb1-rep_paper-1-cheb1,346.4159,18.653236,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,1,cheb1,0.996773691327264
anytown-random-0.1-binary-cheb1-rep_paper-1-naive,150.20892,12.255975,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,1,naive,0.6578104850506467
anytown-random-0.1-binary-cheb1-rep_paper-1-interp,97.65398,13.483614,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,1,interp,0.3887197182132112
anytown-random-0.1-binary-cheb1-rep_paper-2-cheb1,316.5855,17.557423,18.63146759952944,5266,anytown,random,0.1,binary,rep_paper,2,cheb1,0.9677945714325918
anytown-random-0.1-binary-cheb1-rep_paper-2-naive,15.553692,3.9438157,18.63146759952944,5266,anytown,random,0.1,binary,rep_paper,2,naive,0.21167512138667946
anytown-random-0.1-binary-cheb1-rep_paper-2-interp,22.56605,5.305415,18.63146759952944,5266,anytown,random,0.1,binary,rep_paper,2,interp,0.2282911729824082
anytown-random-0.1-binary-cheb1-rep_paper-3-cheb1,344.47507,18.59512,18.63146759952944,739,anytown,random,0.1,binary,rep_paper,3,cheb1,0.9942869655352101
anytown-random-0.1-binary-cheb1-rep_paper-3-naive,5.84883,2.4184341,18.63146759952944,739,anytown,random,0.1,binary,rep_paper,3,naive,0.12980388025830386
anytown-random-0.1-binary-cheb1-rep_paper-3-interp,-2.018882,3.073858,18.63146759952944,739,anytown,random,0.1,binary,rep_paper,3,interp,-0.03525170031607403
anytown-random-0.1-binary-cheb1-rep_paper-4-cheb1,323.6338,17.778,18.63146759952944,88867,anytown,random,0.1,binary,rep_paper,4,cheb1,0.977066009458565
anytown-random-0.1-binary-cheb1-rep_paper-4-naive,4.340964,2.0834968,18.63146759952944,88867,anytown,random,0.1,binary,rep_paper,4,naive,0.11182689872311666
anytown-random-0.1-binary-cheb1-rep_paper-4-interp,-3.2266765,3.3637395,18.63146759952944,88867,anytown,random,0.1,binary,rep_paper,4,interp,-0.051485626927335035
anytown-random-0.1-binary-cheb1-rep_paper-5-cheb1,351.0116,20.49981,18.63146759952944,1,anytown,random,0.1,binary,rep_paper,5,cheb1,0.9190191636634006
anytown-random-0.1-binary-cheb1-rep_paper-5-naive,164.1827,12.813379,18.63146759952944,1,anytown,random,0.1,binary,rep_paper,5,naive,0.6877279196253683
anytown-random-0.1-binary-cheb1-rep_paper-5-interp,110.78899,13.74892,18.63146759952944,1,anytown,random,0.1,binary,rep_paper,5,interp,0.4324948621592137
anytown-random-0.1-binary-cheb1-rep_paper-6-cheb1,341.64023,18.438898,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,6,cheb1,0.9944592187597713
anytown-random-0.1-binary-cheb1-rep_paper-6-naive,14.080641,3.752418,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,6,naive,0.2014021719331457
anytown-random-0.1-binary-cheb1-rep_paper-6-interp,-22.162668,4.7181034,18.63146759952944,8,anytown,random,0.1,binary,rep_paper,6,interp,-0.2521201289888053
anytown-random-0.1-binary-cheb1-rep_paper-7-cheb1,331.9408,20.425787,18.63146759952944,5266,anytown,random,0.1,binary,rep_paper,7,cheb1,0.8722375354712602
anytown-random-0.1-binary-cheb1-rep_paper-7-naive,153.03168,12.370597,18.63146759952944,5266,anytown,random,0.1,binary,rep_paper,7,naive,0.6639626068777311
