run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-random-0.1-binary-def-1-orig,347.1315849123153,18.63146759952944,18.63146759952944,8,anytown,random,0.1,binary,def,1,orig,1.0
anytown-random-0.05-binary-def-1-gcn,345.55914,18.654171,18.63146759952944,8,anytown,random,0.05,binary,def,1,gcn,0.9942586209977319
anytown-random-0.05-binary-def-1-naive,118.704575,10.895163,18.63146759952944,8,anytown,random,0.05,binary,def,1,naive,0.5847721215144185
anytown-random-0.05-binary-def-1-interp,95.81667,12.652039,18.63146759952944,8,anytown,random,0.05,binary,def,1,interp,0.406474668756375
anytown-random-0.05-binary-def-2-gcn,344.9006,18.5799,18.63146759952944,5266,anytown,random,0.05,binary,def,2,gcn,0.996330699080651
anytown-random-0.05-binary-def-2-naive,16.160448,4.020006,18.63146759952944,5266,anytown,random,0.05,binary,def,2,naive,0.21576432016505082
anytown-random-0.05-binary-def-2-interp,-17.804697,5.26781,18.63146759952944,5266,anytown,random,0.05,binary,def,2,interp,-0.18140841101083963
anytown-random-0.05-binary-def-3-gcn,341.48477,18.448107,18.63146759952944,739,anytown,random,0.05,binary,def,3,gcn,0.9935105077014198
anytown-random-0.05-binary-def-3-naive,23.875538,4.8862605,18.63146759952944,739,anytown,random,0.05,binary,def,3,naive,0.26225844647083874
anytown-random-0.05-binary-def-3-interp,3.2660654,6.518265,18.63146759952944,739,anytown,random,0.05,binary,def,3,interp,0.02689340539470094
anytown-random-0.05-binary-def-4-gcn,249.38142,25.376228,18.63146759952944,88867,anytown,random,0.05,binary,def,4,gcn,0.5274605219915245
anytown-random-0.05-binary-def-4-naive,18.229418,4.2695923,18.63146759952944,88867,anytown,random,0.05,binary,def,4,naive,0.2291602731551323
anytown-random-0.05-binary-def-4-interp,-17.294888,5.711138,18.63146759952944,88867,anytown,random,0.05,binary,def,4,interp,-0.1625354260631319
anytown-random-0.05-binary-def-5-gcn,337.3276,18.2308,18.63146759952944,1,anytown,random,0.05,binary,def,5,gcn,0.9931139541176756
anytown-random-0.05-binary-def-5-naive,6.298139,2.5096095,18.63146759952944,1,anytown,random,0.05,binary,def,5,naive,0.1346973420578886
anytown-random-0.05-binary-def-5-interp,-6.326911,2.9230316,18.63146759952944,1,anytown,random,0.05,binary,def,5,interp,-0.1161745902333873
anytown-random-0.05-binary-def-6-gcn,323.98224,17.686403,18.63146759952944,8,anytown,random,0.05,binary,def,6,gcn,0.9831835907980915
anytown-random-0.05-binary-def-6-naive,9.934601,3.15192,18.63146759952944,8,anytown,random,0.05,binary,def,6,naive,0.1691718808475105
anytown-random-0.05-binary-def-6-interp,5.714571,4.2986927,18.63146759952944,8,anytown,random,0.05,binary,def,6,interp,0.07135101695875498
anytown-random-0.05-binary-def-7-gcn,341.46954,18.451605,18.63146759952944,5266,anytown,random,0.05,binary,def,7,gcn,0.9932778594293752
anytown-random-0.05-binary-def-7-naive,6.565356,2.562295,18.63146759952944,5266,anytown,random,0.05,binary,def,7,naive,0.1375251367754075
anytown-random-0.05-binary-def-7-interp,-12.821894,3.1691608,18.63146759952944,5266,anytown,random,0.05,binary,def,7,interp,-0.21715050375770933
anytown-random-0.05-binary-def-8-gcn,346.44272,18.691374,18.63146759952944,739,anytown,random,0.05,binary,def,8,gcn,0.9948168820038007
anytown-random-0.05-binary-def-8-naive,136.4349,11.680535,18.63146759952944,739,anytown,random,0.05,binary,def,8,naive,0.626925126459743
anytown-random-0.05-binary-def-8-interp,89.466415,12.878674,18.63146759952944,739,anytown,random,0.05,binary,def,8,interp,0.3728565867267793
anytown-random-0.05-binary-def-9-gcn,346.62088,18.669218,18.63146759952944,88867,anytown,random,0.05,binary,def,9,gcn,0.9965096941972158
anytown-random-0.05-binary-def-9-naive,145.67343,12.069524,18.63146759952944,88867,anytown,random,0.05,binary,def,9,naive,0.6478032729759063
anytown-random-0.05-binary-def-9-interp,92.380905,13.336777,18.63146759952944,88867,anytown,random,0.05,binary,def,9,interp,0.37177848841948286
anytown-random-0.05-binary-def-10-gcn,345.14993,18.600204,18.63146759952944,1,anytown,random,0.05,binary,def,10,gcn,0.9959625687153022
anytown-random-0.05-binary-def-10-naive,133.119,11.537722,18.63146759952944,1,anytown,random,0.05,binary,def,10,naive,0.6192598317479099
anytown-random-0.05-binary-def-10-interp,-11.205144,17.123194,18.63146759952944,1,anytown,random,0.05,binary,def,10,interp,-0.03512251441527357
anytown-random-0.05-binary-def-11-gcn,345.32227,18.6239,18.63146759952944,8,anytown,random,0.05,binary,def,11,gcn,0.9951920326437904
anytown-random-0.05-binary-def-11-naive,120.8643,10.993831,18.63146759952944,8,anytown,random,0.05,binary,def,11,naive,0.5900678042094122
anytown-random-0.05-binary-def-11-interp,94.1075,12.338573,18.63146759952944,8,anytown,random,0.05,binary,def,11,interp,0.40936643973204045
anytown-random-0.05-binary-def-12-gcn,340.3711,18.384436,18.63146759952944,5266,anytown,random,0.05,binary,def,12,gcn,0.9937000267991772
anytown-random-0.05-binary-def-12-naive,118.71697,10.895732,18.63146759952944,5266,anytown,random,0.05,binary,def,12,naive,0.5848026414464712
anytown-random-0.05-binary-def-12-interp,34.33794,15.280324,18.63146759952944,5266,anytown,random,0.05,binary,def,12,interp,0.12061313582237786
anytown-random-0.05-binary-def-13-gcn,343.58813,18.556742,18.63146759952944,739,anytown,random,0.05,binary,def,13,gcn,0.9937779503412426
anytown-random-0.05-binary-def-13-naive,12.455521,3.529238,18.63146759952944,739,anytown,random,0.05,binary,def,13,naive,0.18942351270145133
anytown-random-0.05-binary-def-13-interp,-2.5383887,4.556675,18.63146759952944,739,anytown,random,0.05,binary,def,13,interp,-0.029899436680277336
anytown-random-0.05-binary-def-14-gcn,345.09497,18.599104,18.63146759952944,88867,anytown,random,0.05,binary,def,14,gcn,0.9958628709388904
anytown-random-0.05-binary-def-14-naive,126.89544,11.264787,18.63146759952944,88867,anytown,random,0.05,binary,def,14,naive,0.6046108911625915
anytown-random-0.05-binary-def-14-interp,91.87154,12.469559,18.63146759952944,88867,anytown,random,0.05,binary,def,14,interp,0.3954420385377663
anytown-random-0.05-binary-def-15-gcn,304.4296,17.078987,18.63146759952944,1,anytown,random,0.05,binary,def,15,gcn,0.9567042505413897
anytown-random-0.05-binary-def-15-naive,3.5973895,1.896677,18.63146759952944,1,anytown,random,0.05,binary,def,15,naive,0.10179982216935313
anytown-random-0.05-binary-def-15-interp,4.7000036,2.9618628,18.63146759952944,1,anytown,random,0.05,binary,def,15,interp,0.08516990990130216
anytown-random-0.05-binary-def-16-gcn,343.40262,18.521357,18.63146759952944,8,anytown,random,0.05,binary,def,16,gcn,0.9951389749063189
anytown-random-0.05-binary-def-16-naive,17.859148,4.2260084,18.63146759952944,8,anytown,random,0.05,binary,def,16,naive,0.22682102817693034
anytown-random-0.05-binary-def-16-interp,-8.094564,5.547353,18.63146759952944,8,anytown,random,0.05,binary,def,16,interp,-0.07831782048869285
anytown-random-0.05-binary-def-17-gcn,272.92993,16.115938,18.63146759952944,5266,anytown,random,0.05,binary,def,17,gcn,0.9089678242530222
anytown-random-0.05-binary-def-17-naive,14.165806,3.76375,18.63146759952944,5266,anytown,random,0.05,binary,def,17,naive,0.20201027309032765
anytown-random-0.05-binary-def-17-interp,24.346369,5.2288537,18.63146759952944,5266,anytown,random,0.05,binary,def,17,interp,0.2499082789795297
anytown-random-0.05-binary-def-18-gcn,342.69556,18.542759,18.63146759952944,739,anytown,random,0.05,binary,def,18,gcn,0.9919437794576452
anytown-random-0.05-binary-def-18-naive,5.903173,2.4296458,18.63146759952944,739,anytown,random,0.05,binary,def,18,naive,0.130405371206585
anytown-random-0.05-binary-def-18-interp,-0.014481035,3.0841174,18.63146759952944,739,anytown,random,0.05,binary,def,18,interp,-0.0002520122408696814
anytown-random-0.05-binary-def-19-gcn,342.46344,18.504284,18.63146759952944,88867,anytown,random,0.05,binary,def,19,gcn,0.9933330006985153
