run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-xrandom-0.05-binary-gat-tuned-1-gat,336.98535,18.370651,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,gat,0.9845537000656478
anytown-xrandom-0.05-binary-gat-tuned-2-gat,322.33743,17.921274,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,gat,0.9653722117933753
anytown-xrandom-0.05-binary-gat-tuned-3-gat,334.54865,18.279806,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,gat,0.9822920604150129
anytown-xrandom-0.05-binary-gat-tuned-4-gat,341.0011,18.462116,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,gat,0.9913505205628028
anytown-xrandom-0.05-binary-gat-tuned-5-gat,318.5267,17.688383,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,gat,0.9665195507682631
anytown-xrandom-0.05-binary-gat2-nodeterministic-1-gat2,330.3026,17.97019,18.63146759952944,8,anytown,xrandom,0.05,binary,nodeterministic,1,gat2,0.9865344550483565
anytown-xrandom-0.05-binary-gat2-nodeterministic-2-gat2,337.87375,18.294924,18.63146759952944,5266,anytown,xrandom,0.05,binary,nodeterministic,2,gat2,0.9912353385839027
anytown-xrandom-0.05-binary-gat2-nodeterministic-3-gat2,325.09625,18.075737,18.63146759952944,739,anytown,xrandom,0.05,binary,nodeterministic,3,gat2,0.9653146128620439
anytown-xrandom-0.05-binary-gat2-nodeterministic-4-gat2,314.8292,17.11048,18.63146759952944,88867,anytown,xrandom,0.05,binary,nodeterministic,4,gat2,0.9875651305587628
anytown-xrandom-0.05-binary-gat2-nodeterministic-5-gat2,324.73114,17.915882,18.63146759952944,1,anytown,xrandom,0.05,binary,nodeterministic,5,gat2,0.9728338603593225
anytown-xrandom-0.05-binary-cheb2-tuned-1-cheb2,344.7963,18.538706,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,cheb2,0.9982426335362389
anytown-xrandom-0.05-binary-cheb2-tuned-2-cheb2,343.07172,18.451027,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,cheb2,0.9979695950378141
anytown-xrandom-0.05-binary-cheb2-tuned-3-cheb2,343.5621,18.484571,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,cheb2,0.9975824665352686
anytown-xrandom-0.05-binary-cheb2-tuned-4-cheb2,341.32938,18.39496,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,cheb2,0.9959275780221172
