run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
anytown-xrandom-0.05-binary-gat-tuned-1-gat,336.98535,18.370651,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,gat,0.9845537000656478
anytown-xrandom-0.05-binary-gat-tuned-1-naive,123.562035,11.115846,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,naive,0.5966167820060848
anytown-xrandom-0.05-binary-gat-tuned-1-interp,92.275,12.345412,18.63146759952944,8,anytown,xrandom,0.05,binary,tuned,1,interp,0.40117272658138836
anytown-xrandom-0.05-binary-gat-tuned-2-gat,322.33743,17.921274,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,gat,0.9653722117933753
anytown-xrandom-0.05-binary-gat-tuned-2-naive,119.858665,10.947998,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,naive,0.5876079476413193
anytown-xrandom-0.05-binary-gat-tuned-2-interp,92.59188,12.292723,18.63146759952944,5266,anytown,xrandom,0.05,binary,tuned,2,interp,0.4042757961820157
anytown-xrandom-0.05-binary-gat-tuned-3-gat,334.54865,18.279806,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,gat,0.9822920604150129
anytown-xrandom-0.05-binary-gat-tuned-3-naive,123.655655,11.120056,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,naive,0.5968427768785503
anytown-xrandom-0.05-binary-gat-tuned-3-interp,90.877785,12.427719,18.63146759952944,739,anytown,xrandom,0.05,binary,tuned,3,interp,0.39248154702388816
anytown-xrandom-0.05-binary-gat-tuned-4-gat,341.0011,18.462116,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,gat,0.9913505205628028
anytown-xrandom-0.05-binary-gat-tuned-4-naive,128.66891,11.343232,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,naive,0.608821164781716
anytown-xrandom-0.05-binary-gat-tuned-4-interp,95.162575,12.511513,18.63146759952944,88867,anytown,xrandom,0.05,binary,tuned,4,interp,0.4082341086983298
anytown-xrandom-0.05-binary-gat-tuned-5-gat,318.5267,17.688383,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,gat,0.9665195507682631
anytown-xrandom-0.05-binary-gat-tuned-5-naive,114.542244,10.702441,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,naive,0.5744282356056414
anytown-xrandom-0.05-binary-gat-tuned-5-interp,106.49642,12.114351,18.63146759952944,1,anytown,xrandom,0.05,binary,tuned,5,interp,0.471832433136257
anytown-xrandom-0.1-binary-gat-tuned-1-gat,339.04626,18.446321,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,1,gat,0.9865114506729502
anytown-xrandom-0.1-binary-gat-tuned-1-naive,152.21495,12.337543,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,1,naive,0.6621883935736752
anytown-xrandom-0.1-binary-gat-tuned-1-interp,98.88161,13.355545,18.63146759952944,8,anytown,xrandom,0.1,binary,tuned,1,interp,0.39738077136630723
anytown-xrandom-0.1-binary-gat-tuned-2-gat,337.6418,18.37373,18.63146759952944,5266,anytown,xrandom,0.1,binary,tuned,2,gat,0.9863063089160637
anytown-xrandom-0.1-binary-gat-tuned-2-naive,162.37991,12.742838,18.63146759952944,5266,anytown,xrandom,0.1,binary,tuned,2,naive,0.6839416768476339
