run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
bwsn-xrandom-0.05-binary-cheb2-test-1-cheb2,20441.205,142.98746,142.97124331540343,8,bwsn,xrandom,0.05,binary,test,1,cheb2,0.9999075514388819
bwsn-xrandom-0.05-binary-cheb2-test-2-cheb2,20441.133,142.99007,142.97124331540343,5266,bwsn,xrandom,0.05,binary,test,2,cheb2,0.9998857782032712
bwsn-xrandom-0.05-binary-cheb2-test-3-cheb2,20438.623,142.97177,142.97124331540343,739,bwsn,xrandom,0.05,binary,test,3,cheb2,0.9998909675616813
bwsn-xrandom-0.05-binary-cheb2-test-4-cheb2,20435.225,142.97844,142.97124331540343,88867,bwsn,xrandom,0.05,binary,test,4,cheb2,0.9996780942784033
bwsn-xrandom-0.05-binary-cheb2-test-5-cheb2,20440.523,142.98628,142.97124331540343,1,bwsn,xrandom,0.05,binary,test,5,cheb2,0.999882442042909
bwsn-xrandom-0.05-binary-cheb2-test-6-cheb2,20439.41,142.97298,142.97124331540343,8,bwsn,xrandom,0.05,binary,test,6,cheb2,0.9999210063521213
bwsn-xrandom-0.05-binary-cheb2-test-7-cheb2,20444.547,143.03185,142.97124331540343,5266,bwsn,xrandom,0.05,binary,test,7,cheb2,0.9997606571201727
bwsn-xrandom-0.05-binary-cheb2-test-8-cheb2,20440.316,142.99573,142.97124331540343,739,bwsn,xrandom,0.05,binary,test,8,cheb2,0.9998062388396385
bwsn-xrandom-0.05-binary-cheb2-test-9-cheb2,20443.404,143.00781,142.97124331540343,88867,bwsn,xrandom,0.05,binary,test,9,cheb2,0.999872816249954
bwsn-xrandom-0.05-binary-cheb2-test-10-cheb2,20445.367,143.02309,142.97124331540343,1,bwsn,xrandom,0.05,binary,test,10,cheb2,0.9998619926629773
bwsn-xrandom-0.05-binary-cheb2-test-11-cheb2,20442.344,142.9962,142.97124331540343,8,bwsn,xrandom,0.05,binary,test,11,cheb2,0.9999021488129514
bwsn-xrandom-0.05-binary-cheb2-test-12-cheb2,20297.613,147.12909,142.97124331540343,5266,bwsn,xrandom,0.05,binary,test,12,cheb2,0.9649342572981702
