run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
bwsn-random-0.05-binary-def-1-orig,20440.77641515229,142.97124331540343,142.97124331540343,8,bwsn,random,0.05,binary,def,1,orig,1.0
bwsn-xrandom-0.05-binary-cheb3-reduced-1-cheb3,20438.912,142.96048,142.97124331540343,8,bwsn,xrandom,0.05,binary,reduced,1,cheb3,0.9999840712959209
bwsn-xrandom-0.05-binary-cheb3-reduced-2-cheb3,20442.438,142.9904,142.97124331540343,5266,bwsn,xrandom,0.05,binary,reduced,2,cheb3,0.9999473050425708
bwsn-xrandom-0.05-binary-cheb3-reduced-3-cheb3,20442.148,142.99185,142.97124331540343,739,bwsn,xrandom,0.05,binary,reduced,3,cheb3,0.9999229798553748
bwsn-xrandom-0.05-binary-cheb3-reduced-4-cheb3,20438.174,142.97606,142.97124331540343,88867,bwsn,xrandom,0.05,binary,reduced,4,cheb3,0.9998390006524654
bwsn-xrandom-0.05-binary-cheb3-reduced-5-cheb3,20440.629,142.97752,142.97124331540343,1,bwsn,xrandom,0.05,binary,reduced,5,cheb3,0.9999488886984915
bwsn-xrandom-0.1-binary-cheb3-reduced-1-cheb3,20439.924,142.96902,142.97124331540343,8,bwsn,xrandom,0.1,binary,reduced,1,cheb3,0.9999738486793922
bwsn-xrandom-0.1-binary-cheb3-reduced-2-cheb3,20438.902,142.98491,142.97124331540343,5266,bwsn,xrandom,0.1,binary,reduced,2,cheb3,0.9998127276555522
bwsn-xrandom-0.1-binary-cheb3-reduced-3-cheb3,20438.65,143.001,142.97124331540343,739,bwsn,xrandom,0.1,binary,reduced,3,cheb3,0.9996879062976602
bwsn-xrandom-0.1-binary-cheb3-reduced-4-cheb3,20440.594,142.976,142.97124331540343,88867,bwsn,xrandom,0.1,binary,reduced,4,cheb3,0.9999578071032373
bwsn-xrandom-0.1-binary-cheb3-reduced-5-cheb3,20442.287,142.98917,142.97124331540343,1,bwsn,xrandom,0.1,binary,reduced,5,cheb3,0.9999485203705623
bwsn-xrandom-0.2-binary-cheb3-reduced-1-cheb3,20442.342,143.00487,142.97124331540343,8,bwsn,xrandom,0.2,binary,reduced,1,cheb3,0.9998414296188615
bwsn-xrandom-0.2-binary-cheb3-reduced-2-cheb3,20440.85,142.99788,142.97124331540343,5266,bwsn,xrandom,0.2,binary,reduced,2,cheb3,0.9998173259509758
bwsn-xrandom-0.2-binary-cheb3-reduced-3-cheb3,20439.426,143.06639,142.97124331540343,739,bwsn,xrandom,0.2,binary,reduced,3,cheb3,0.9992689264989375
bwsn-xrandom-0.2-binary-cheb3-reduced-4-cheb3,20434.969,142.9821,142.97124331540343,88867,bwsn,xrandom,0.2,binary,reduced,4,cheb3,0.9996399818734859
bwsn-xrandom-0.2-binary-cheb3-reduced-5-cheb3,20436.541,142.95224,142.97124331540343,1,bwsn,xrandom,0.2,binary,reduced,5,cheb3,0.9999257029502792
bwsn-xrandom-0.4-binary-cheb3-reduced-1-cheb3,20312.34,147.27031,142.97124331540343,8,bwsn,xrandom,0.4,binary,reduced,1,cheb3,0.9647084053418601
bwsn-xrandom-0.4-binary-cheb3-reduced-2-cheb3,20447.766,143.09132,142.97124331540343,5266,bwsn,xrandom,0.4,binary,reduced,2,cheb3,0.9995024950660706
bwsn-xrandom-0.4-binary-cheb3-reduced-3-cheb3,20438.73,143.07335,142.97124331540343,739,bwsn,xrandom,0.4,binary,reduced,3,cheb3,0.9991862903996787
bwsn-xrandom-0.4-binary-cheb3-reduced-4-cheb3,20437.473,142.98991,142.97124331540343,88867,bwsn,xrandom,0.4,binary,reduced,4,cheb3,0.9997078665462185
bwsn-xrandom-0.4-binary-cheb3-reduced-5-cheb3,20436.66,143.00981,142.97124331540343,1,bwsn,xrandom,0.4,binary,reduced,5,cheb3,0.9995289931895456
bwsn-xrandom-0.8-binary-cheb3-reduced-1-cheb3,20414.01,143.09978,142.97124331540343,8,bwsn,xrandom,0.8,binary,reduced,1,cheb3,0.9977934832524492
bwsn-xrandom-0.8-binary-cheb3-reduced-2-cheb3,20434.592,143.24051,142.97124331540343,5266,bwsn,xrandom,0.8,binary,reduced,2,cheb3,0.9978181937381302
bwsn-xrandom-0.8-binary-cheb3-reduced-3-cheb3,20471.312,143.47339,142.97124331540343,739,bwsn,xrandom,0.8,binary,reduced,3,cheb3,0.9979886989740598
bwsn-xrandom-0.8-binary-cheb3-reduced-4-cheb3,20395.17,142.94377,142.97124331540343,88867,bwsn,xrandom,0.8,binary,reduced,4,cheb3,0.997960618974689
bwsn-xrandom-0.8-binary-cheb3-reduced-5-cheb3,20446.426,143.33847,142.97124331540343,1,bwsn,xrandom,0.8,binary,reduced,5,cheb3,0.9977137250603738
