run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
ctown-xrandom-0.05-binary-gat-prueba-1-gat,857.6299,29.275152,34.87383466535326,8,ctown,xrandom,0.05,binary,prueba,1,gat,0.8400420976623035
ctown-xrandom-0.05-binary-gat-prueba-2-gat,769.19464,27.945715,34.87383466535326,5266,ctown,xrandom,0.05,binary,prueba,2,gat,0.7892622284336348
ctown-xrandom-0.05-binary-gat-prueba-3-gat,735.2112,27.43914,34.87383466535326,739,ctown,xrandom,0.05,binary,prueba,3,gat,0.768319604005088
ctown-xrandom-0.05-binary-gat-prueba-4-gat,742.09406,27.248344,34.87383466535326,88867,ctown,xrandom,0.05,binary,prueba,4,gat,0.7809426424862053
ctown-xrandom-0.05-binary-gat-prueba-5-gat,796.07245,28.172182,34.87383466535326,1,ctown,xrandom,0.05,binary,prueba,5,gat,0.8102749351012218
ctown-xrandom-0.05-binary-cheb2-prueba-1-cheb2,1214.0527,34.84454,34.87383466535326,8,ctown,xrandom,0.05,binary,prueba,1,cheb2,0.9990865199156708
ctown-xrandom-0.05-binary-cheb2-prueba-2-cheb2,1213.2987,34.825462,34.87383466535326,5266,ctown,xrandom,0.05,binary,prueba,2,cheb2,0.9990130041211605
ctown-xrandom-0.05-binary-cheb2-prueba-3-cheb2,1213.7527,34.835426,34.87383466535326,739,ctown,xrandom,0.05,binary,prueba,3,cheb2,0.9991009660303168
ctown-xrandom-0.05-binary-cheb2-prueba-4-cheb2,1211.289,34.769512,34.87383466535326,88867,ctown,xrandom,0.05,binary,prueba,4,cheb2,0.9989631629131669
ctown-xrandom-0.05-binary-cheb2-prueba-5-cheb2,1213.2812,34.82377,34.87383466535326,1,ctown,xrandom,0.05,binary,prueba,5,cheb2,0.999047133714841
ctown-xrandom-0.05-binary-gat2-prueba-1-gat2,963.6526,31.13453,34.87383466535326,8,ctown,xrandom,0.05,binary,prueba,1,gat2,0.8875206756364765
ctown-xrandom-0.05-binary-gat2-prueba-2-gat2,892.1988,29.86877,34.87383466535326,5266,ctown,xrandom,0.05,binary,prueba,2,gat2,0.8565339703298489
ctown-xrandom-0.05-binary-gat2-prueba-3-gat2,802.13214,27.920448,34.87383466535326,739,ctown,xrandom,0.05,binary,prueba,3,gat2,0.8238038766360893
ctown-xrandom-0.05-binary-gat2-prueba-4-gat2,887.53894,29.756767,34.87383466535326,88867,ctown,xrandom,0.05,binary,prueba,4,gat2,0.8552674971290832
ctown-xrandom-0.05-binary-gat2-prueba-5-gat2,963.33734,30.990961,34.87383466535326,1,ctown,xrandom,0.05,binary,prueba,5,gat2,0.8913405133159272
ctown-xrandom-0.1-binary-gat2-prueba-1-gat2,1101.8278,33.11778,34.87383466535326,8,ctown,xrandom,0.1,binary,prueba,1,gat2,0.9540097312683332
