run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
hanoi-xrandom-0.05-binary-cheb1-prueba-1-cheb1,361.86447,19.027328,19.04086921073036,8,hanoi,xrandom,0.05,binary,prueba,1,cheb1,0.9988065205063058
hanoi-xrandom-0.05-binary-cheb1-prueba-2-cheb1,362.60858,19.063707,19.04086921073036,5266,hanoi,xrandom,0.05,binary,prueba,2,cheb1,0.9989504610891857
hanoi-xrandom-0.05-binary-cheb1-prueba-3-cheb1,361.09906,18.989532,19.04086921073036,739,hanoi,xrandom,0.05,binary,prueba,3,cheb1,0.9986776400963719
hanoi-xrandom-0.05-binary-cheb1-prueba-4-cheb1,361.26886,18.99964,19.04086921073036,88867,hanoi,xrandom,0.05,binary,prueba,4,cheb1,0.9986156929507074
hanoi-xrandom-0.05-binary-cheb1-prueba-5-cheb1,362.67773,19.068762,19.04086921073036,1,hanoi,xrandom,0.05,binary,prueba,5,cheb1,0.9988760969200956
hanoi-xrandom-0.05-binary-cheb1-prueba-6-cheb1,361.0466,18.983164,19.04086921073036,8,hanoi,xrandom,0.05,binary,prueba,6,cheb1,0.9988675163934864
hanoi-xrandom-0.05-binary-cheb1-prueba-7-cheb1,360.91638,18.980055,19.04086921073036,5266,hanoi,xrandom,0.05,binary,prueba,7,cheb1,0.9986708101987886
hanoi-xrandom-0.05-binary-cheb1-prueba-8-cheb1,361.94614,19.037294,19.04086921073036,739,hanoi,xrandom,0.05,binary,prueba,8,cheb1,0.9985089513855772
hanoi-xrandom-0.05-binary-cheb1-prueba-9-cheb1,364.33337,19.195723,19.04086921073036,88867,hanoi,xrandom,0.05,binary,prueba,9,cheb1,0.9967992595276433
hanoi-xrandom-0.05-binary-cheb1-prueba-10-cheb1,361.24725,18.992468,19.04086921073036,1,hanoi,xrandom,0.05,binary,prueba,10,cheb1,0.9989330368877746
hanoi-xrandom-0.05-binary-cheb1-prueba-11-cheb1,362.82864,19.080988,19.04086921073036,8,hanoi,xrandom,0.05,binary,prueba,11,cheb1,0.9986514400207706
hanoi-xrandom-0.05-binary-cheb1-prueba-12-cheb1,362.10532,19.044954,19.04086921073036,5266,hanoi,xrandom,0.05,binary,prueba,12,cheb1,0.998546301641439
hanoi-xrandom-0.05-binary-cheb1-prueba-13-cheb1,361.002,19.019043,19.04086921073036,739,hanoi,xrandom,0.05,binary,prueba,13,cheb1,0.9968600180317743
hanoi-xrandom-0.05-binary-cheb1-prueba-14-cheb1,361.31177,18.999418,19.04086921073036,88867,hanoi,xrandom,0.05,binary,prueba,14,cheb1,0.9987459741137766
hanoi-xrandom-0.05-binary-cheb1-prueba-15-cheb1,361.52765,19.011032,19.04086921073036,1,hanoi,xrandom,0.05,binary,prueba,15,cheb1,0.9987322074736104
hanoi-xrandom-0.05-binary-cheb1-prueba-16-cheb1,361.53906,19.008461,19.04086921073036,8,hanoi,xrandom,0.05,binary,prueba,16,cheb1,0.9988988163250591
hanoi-xrandom-0.05-binary-cheb1-prueba-17-cheb1,361.68396,19.025942,19.04086921073036,5266,hanoi,xrandom,0.05,binary,prueba,17,cheb1,0.9983810073514755
hanoi-xrandom-0.05-binary-cheb1-prueba-18-cheb1,362.32843,19.06,19.04086921073036,739,hanoi,xrandom,0.05,binary,prueba,18,cheb1,0.9983728126387346
hanoi-xrandom-0.05-binary-cheb1-prueba-19-cheb1,360.46048,18.979656,19.04086921073036,88867,hanoi,xrandom,0.05,binary,prueba,19,cheb1,0.9974302837621933
hanoi-xrandom-0.05-binary-cheb1-prueba-20-cheb1,362.91928,19.08542,19.04086921073036,1,hanoi,xrandom,0.05,binary,prueba,20,cheb1,0.9986689541076353
hanoi-xrandom-0.05-binary-cheb2-prueba-1-cheb2,360.85278,18.982151,19.04086921073036,8,hanoi,xrandom,0.05,binary,prueba,1,cheb2,0.9983845730032698
hanoi-xrandom-0.05-binary-cheb2-prueba-2-cheb2,359.53146,18.929403,19.04086921073036,5266,hanoi,xrandom,0.05,binary,prueba,2,cheb2,0.9975007045891917
