run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
hanoi-xrandom-0.05-binary-cheb3-reduced-1-cheb3,360.33972,18.950014,19.04086921073036,8,hanoi,xrandom,0.05,binary,reduced,1,cheb3,0.9986558069215477
hanoi-xrandom-0.05-binary-cheb3-reduced-2-cheb3,360.5797,18.981085,19.04086921073036,5266,hanoi,xrandom,0.05,binary,reduced,2,cheb3,0.9976850606049298
hanoi-xrandom-0.05-binary-cheb3-reduced-3-cheb3,360.9256,18.98102,19.04086921073036,739,hanoi,xrandom,0.05,binary,reduced,3,cheb3,0.998645548345634
hanoi-xrandom-0.05-binary-cheb3-reduced-4-cheb3,361.23184,18.99592,19.04086921073036,88867,hanoi,xrandom,0.05,binary,reduced,4,cheb3,0.9987089030402811
hanoi-xrandom-0.05-binary-cheb3-reduced-5-cheb3,361.12665,18.989016,19.04086921073036,1,hanoi,xrandom,0.05,binary,reduced,5,cheb3,0.9987810844315166
hanoi-xrandom-0.1-binary-cheb3-reduced-1-cheb3,360.60425,18.963266,19.04086921073036,8,hanoi,xrandom,0.1,binary,reduced,1,cheb3,0.9986905351888365
hanoi-xrandom-0.1-binary-cheb3-reduced-2-cheb3,363.4437,19.111588,19.04086921073036,5266,hanoi,xrandom,0.1,binary,reduced,2,cheb3,0.9987426602121169
hanoi-xrandom-0.1-binary-cheb3-reduced-3-cheb3,362.29218,19.047739,19.04086921073036,739,hanoi,xrandom,0.1,binary,reduced,3,cheb3,0.9989155148152535
hanoi-xrandom-0.1-binary-cheb3-reduced-4-cheb3,361.50937,19.007395,19.04086921073036,88867,hanoi,xrandom,0.1,binary,reduced,4,cheb3,0.9988728026910273
hanoi-xrandom-0.1-binary-cheb3-reduced-5-cheb3,363.23492,19.099627,19.04086921073036,1,hanoi,xrandom,0.1,binary,reduced,5,cheb3,0.9987940290367063
hanoi-xrandom-0.2-binary-cheb3-reduced-1-cheb3,361.81195,19.028322,19.04086921073036,8,hanoi,xrandom,0.2,binary,reduced,1,cheb3,0.9986093885089428
hanoi-xrandom-0.2-binary-cheb3-reduced-2-cheb3,362.52332,19.061775,19.04086921073036,5266,hanoi,xrandom,0.2,binary,reduced,2,cheb3,0.9988168027877529
hanoi-xrandom-0.2-binary-cheb3-reduced-3-cheb3,362.7802,19.083826,19.04086921073036,739,hanoi,xrandom,0.2,binary,reduced,3,cheb3,0.9983696215690864
hanoi-xrandom-0.2-binary-cheb3-reduced-4-cheb3,362.7792,19.075584,19.04086921073036,88867,hanoi,xrandom,0.2,binary,reduced,4,cheb3,0.9987982345966162
hanoi-xrandom-0.2-binary-cheb3-reduced-5-cheb3,361.02463,18.986809,19.04086921073036,1,hanoi,xrandom,0.2,binary,reduced,5,cheb3,0.9986149881262427
hanoi-xrandom-0.4-binary-cheb3-reduced-1-cheb3,361.36896,19.008976,19.04086921073036,8,hanoi,xrandom,0.4,binary,reduced,1,cheb3,0.9984017959388427
hanoi-xrandom-0.4-binary-cheb3-reduced-2-cheb3,359.10803,18.888826,19.04086921073036,5266,hanoi,xrandom,0.4,binary,reduced,2,cheb3,0.9984662294293859
hanoi-xrandom-0.4-binary-cheb3-reduced-3-cheb3,361.73233,19.028524,19.04086921073036,739,hanoi,xrandom,0.4,binary,reduced,3,cheb3,0.9983790369119925
hanoi-xrandom-0.4-binary-cheb3-reduced-4-cheb3,360.03436,18.935007,19.04086921073036,88867,hanoi,xrandom,0.4,binary,reduced,4,cheb3,0.998600340593519
hanoi-xrandom-0.4-binary-cheb3-reduced-5-cheb3,363.24927,19.106562,19.04086921073036,1,hanoi,xrandom,0.4,binary,reduced,5,cheb3,0.9984709466042985
hanoi-xrandom-0.8-binary-cheb3-reduced-1-cheb3,358.7225,18.898554,19.04086921073036,8,hanoi,xrandom,0.8,binary,reduced,1,cheb3,0.9968808922911939
hanoi-xrandom-0.8-binary-cheb3-reduced-2-cheb3,362.4482,19.109398,19.04086921073036,5266,hanoi,xrandom,0.8,binary,reduced,2,cheb3,0.9961211736190614
hanoi-xrandom-0.8-binary-cheb3-reduced-3-cheb3,364.50854,19.190357,19.04086921073036,739,hanoi,xrandom,0.8,binary,reduced,3,cheb3,0.9975573751732375
hanoi-xrandom-0.8-binary-cheb3-reduced-4-cheb3,362.491,19.080788,19.04086921073036,88867,hanoi,xrandom,0.8,binary,reduced,4,cheb3,0.9977325757959994
hanoi-xrandom-0.8-binary-cheb3-reduced-5-cheb3,364.4554,19.191242,19.04086921073036,1,hanoi,xrandom,0.8,binary,reduced,5,cheb3,0.9973659504985504
hanoi-random-0.05-binary-def-1-orig,362.5547003001393,19.04086921073036,19.04086921073036,8,hanoi,random,0.05,binary,def,1,orig,0.9999999999999997
