run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
hanoi-random-0.05-binary-def-1-orig,362.5547003001393,19.04086921073036,19.04086921073036,8,hanoi,random,0.05,binary,def,1,orig,0.9999999999999997
hanoi-xrandom-0.05-binary-cheb3-reduced-1-cheb3,362.12106,19.042507,19.04086921073036,8,hanoi,xrandom,0.05,binary,reduced,1,cheb3,0.99871802723065
hanoi-xrandom-0.05-binary-cheb3-reduced-2-cheb3,359.85226,18.944048,19.04086921073036,5266,hanoi,xrandom,0.05,binary,reduced,2,cheb3,0.9976189249683056
hanoi-xrandom-0.05-binary-cheb3-reduced-3-cheb3,360.18195,18.939125,19.04086921073036,739,hanoi,xrandom,0.05,binary,reduced,3,cheb3,0.998792481760034
hanoi-xrandom-0.05-binary-cheb3-reduced-4-cheb3,360.6522,18.96535,19.04086921073036,88867,hanoi,xrandom,0.05,binary,reduced,4,cheb3,0.9987135770158585
hanoi-xrandom-0.05-binary-cheb3-reduced-5-cheb3,361.68573,19.019724,19.04086921073036,1,hanoi,xrandom,0.05,binary,reduced,5,cheb3,0.9987122892904187
hanoi-xrandom-0.1-binary-cheb3-reduced-1-cheb3,361.08383,18.983328,19.04086921073036,8,hanoi,xrandom,0.1,binary,reduced,1,cheb3,0.9989618862325694
hanoi-xrandom-0.1-binary-cheb3-reduced-2-cheb3,362.3616,19.048141,19.04086921073036,5266,hanoi,xrandom,0.1,binary,reduced,2,cheb3,0.999085834739233
hanoi-xrandom-0.1-binary-cheb3-reduced-3-cheb3,362.6645,19.070045,19.04086921073036,739,hanoi,xrandom,0.1,binary,reduced,3,cheb3,0.998772459028645
hanoi-xrandom-0.1-binary-cheb3-reduced-4-cheb3,362.06638,19.035675,19.04086921073036,88867,hanoi,xrandom,0.1,binary,reduced,4,cheb3,0.9989256124054173
hanoi-xrandom-0.1-binary-cheb3-reduced-5-cheb3,364.0055,19.135494,19.04086921073036,1,hanoi,xrandom,0.1,binary,reduced,5,cheb3,0.9990368263063362
hanoi-xrandom-0.2-binary-cheb3-reduced-1-cheb3,362.67465,19.070677,19.04086921073036,8,hanoi,xrandom,0.2,binary,reduced,1,cheb3,0.9987673118440877
hanoi-xrandom-0.2-binary-cheb3-reduced-2-cheb3,362.76202,19.069965,19.04086921073036,5266,hanoi,xrandom,0.2,binary,reduced,2,cheb3,0.9990452186653384
hanoi-xrandom-0.2-binary-cheb3-reduced-3-cheb3,363.39316,19.110611,19.04086921073036,739,hanoi,xrandom,0.2,binary,reduced,3,cheb3,0.9986548284304714
hanoi-xrandom-0.2-binary-cheb3-reduced-4-cheb3,362.1311,19.03969,19.04086921073036,88867,hanoi,xrandom,0.2,binary,reduced,4,cheb3,0.9988934857352512
hanoi-xrandom-0.2-binary-cheb3-reduced-5-cheb3,362.64194,19.068806,19.04086921073036,1,hanoi,xrandom,0.2,binary,reduced,5,cheb3,0.9987752205658039
hanoi-xrandom-0.4-binary-cheb3-reduced-1-cheb3,360.92896,18.983921,19.04086921073036,8,hanoi,xrandom,0.4,binary,reduced,1,cheb3,0.9985022371612192
hanoi-xrandom-0.4-binary-cheb3-reduced-2-cheb3,362.6392,19.072277,19.04086921073036,5266,hanoi,xrandom,0.4,binary,reduced,2,cheb3,0.9985859065271988
hanoi-xrandom-0.4-binary-cheb3-reduced-3-cheb3,362.56717,19.06494,19.04086921073036,739,hanoi,xrandom,0.4,binary,reduced,3,cheb3,0.9987717822371611
hanoi-xrandom-0.4-binary-cheb3-reduced-4-cheb3,362.752,19.07283,19.04086921073036,88867,hanoi,xrandom,0.4,binary,reduced,4,cheb3,0.9988675575090222
hanoi-xrandom-0.4-binary-cheb3-reduced-5-cheb3,363.65378,19.12432,19.04086921073036,1,hanoi,xrandom,0.4,binary,reduced,5,cheb3,0.9986546632644594
hanoi-xrandom-0.8-binary-cheb3-reduced-1-cheb3,360.6299,18.978586,19.04086921073036,8,hanoi,xrandom,0.8,binary,reduced,1,cheb3,0.9979553467700986
hanoi-xrandom-0.8-binary-cheb3-reduced-2-cheb3,360.9753,18.998894,19.04086921073036,5266,hanoi,xrandom,0.8,binary,reduced,2,cheb3,0.9978434166229808
hanoi-xrandom-0.8-binary-cheb3-reduced-3-cheb3,363.7446,19.147102,19.04086921073036,739,hanoi,xrandom,0.8,binary,reduced,3,cheb3,0.9977155336613142
hanoi-xrandom-0.8-binary-cheb3-reduced-4-cheb3,362.7454,19.082745,19.04086921073036,88867,hanoi,xrandom,0.8,binary,reduced,4,cheb3,0.9983304023636698
hanoi-xrandom-0.8-binary-cheb3-reduced-5-cheb3,361.58624,19.0216,19.04086921073036,1,hanoi,xrandom,0.8,binary,reduced,5,cheb3,0.9983390998191607
