run_id,MSEc,sigma_pred,sigma_true,seed,wds,placement,obs_rat,adjacency,tag,num,model,corr_coeff
hanoi-xrandom-0.05-binary-cheb1-prueba-1-cheb1,361.06686,18.99228,19.040869210730357,8,hanoi,xrandom,0.05,binary,prueba,1,cheb1,0.9984440996565825
hanoi-xrandom-0.05-binary-cheb1-prueba-2-cheb1,359.14606,18.910038,19.040869210730357,5266,hanoi,xrandom,0.05,binary,prueba,2,cheb1,0.9974518378724427
hanoi-xrandom-0.05-binary-cheb1-prueba-3-cheb1,360.8405,18.985588,19.040869210730357,739,hanoi,xrandom,0.05,binary,prueba,3,cheb1,0.998169864018832
hanoi-xrandom-0.05-binary-cheb1-prueba-4-cheb1,361.26596,19.000162,19.040869210730357,88867,hanoi,xrandom,0.05,binary,prueba,4,cheb1,0.9985802416022856
hanoi-xrandom-0.05-binary-cheb1-prueba-5-cheb1,359.07495,18.888538,19.040869210730357,1,hanoi,xrandom,0.05,binary,prueba,5,cheb1,0.9983894761426957
hanoi-xrandom-0.05-binary-cheb2-prueba-1-cheb2,360.85278,18.982151,19.040869210730357,8,hanoi,xrandom,0.05,binary,prueba,1,cheb2,0.99838457300327
hanoi-xrandom-0.05-binary-cheb2-prueba-2-cheb2,359.53146,18.929403,19.040869210730357,5266,hanoi,xrandom,0.05,binary,prueba,2,cheb2,0.9975007045891918
hanoi-xrandom-0.05-binary-cheb2-prueba-3-cheb2,360.9731,18.984379,19.040869210730357,739,hanoi,xrandom,0.05,binary,prueba,3,cheb2,0.9986002576156965
hanoi-xrandom-0.05-binary-cheb2-prueba-4-cheb2,360.5788,18.963877,19.040869210730357,88867,hanoi,xrandom,0.05,binary,prueba,4,cheb2,0.9985878769316304
hanoi-xrandom-0.05-binary-cheb2-prueba-5-cheb2,360.45328,18.95688,19.040869210730357,1,hanoi,xrandom,0.05,binary,prueba,5,cheb2,0.9986087128151266
hanoi-xrandom-0.05-binary-gat-prueba-1-gat,267.25763,16.3105,19.040869210730357,8,hanoi,xrandom,0.05,binary,prueba,1,gat,0.8605499195067163
hanoi-xrandom-0.05-binary-gat-prueba-2-gat,160.12392,12.254782,19.040869210730357,5266,hanoi,xrandom,0.05,binary,prueba,2,gat,0.6862207617835279
hanoi-xrandom-0.05-binary-gat-prueba-3-gat,252.15814,15.788402,19.040869210730357,739,hanoi,xrandom,0.05,binary,prueba,3,gat,0.8387799615836892
